# File: A23.subsector_interp_R.csv
# Title: Region-specific electric subsector shareweights interpolation rules by GCAM4 region
# WARNING: These are hard coding GCAM 4 region names (i.e. 32 regions).  If the region definitions change this file may not match.
# Units: Unitless share-weights
# Source: GCAM assumptions; documented in proposal 210_GCAM4p1_Electricity Generation Assumptions.pdf (page 23)
# Comment: Share-weight interpolation for USA to turn off coal in 2020 only
# Column types: ccccccnc 
# ----------
region,supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
USA,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Africa_Eastern,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Africa_Northern,electricity,refined liquids,share-weight,final-calibration-year,2100,1,linear
Africa_Southern,electricity,refined liquids,share-weight,final-calibration-year,2100,1,linear
Africa_Western,electricity,refined liquids,share-weight,final-calibration-year,2100,1,linear
Australia_NZ,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Brazil,electricity,refined liquids,share-weight,final-calibration-year,2100,1,linear
Canada,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Central America and Caribbean,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Central Asia,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
China,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
India,electricity,refined liquids,share-weight,final-calibration-year,2100,0.2,linear
Indonesia,electricity,refined liquids,share-weight,final-calibration-year,2100,0.2,linear
Japan,electricity,refined liquids,share-weight,final-calibration-year,2100,1,linear
Mexico,electricity,refined liquids,share-weight,final-calibration-year,2100,1,linear
Middle East,electricity,refined liquids,share-weight,final-calibration-year,2100,1,linear
Pakistan,electricity,refined liquids,share-weight,final-calibration-year,2100,0.2,linear
Russia,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
South Africa,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
South America_Northern,electricity,refined liquids,share-weight,final-calibration-year,2100,1,linear
South America_Southern,electricity,refined liquids,share-weight,final-calibration-year,2100,1,linear
South Asia,electricity,refined liquids,share-weight,final-calibration-year,2100,0.2,linear
South Korea,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Southeast Asia,electricity,refined liquids,share-weight,final-calibration-year,2100,0.2,linear
Taiwan,electricity,refined liquids,share-weight,final-calibration-year,2100,1,linear
Argentina,electricity,refined liquids,share-weight,final-calibration-year,2100,1,linear
Colombia,electricity,refined liquids,share-weight,final-calibration-year,2100,1,linear
USA,electricity,coal,share-weight,final-calibration-year,initial-future-year,,linear
USA,electricity,coal,share-weight,initial-future-year,2035,,linear
USA,electricity,coal,share-weight,2035,2300,1,s-curve
Switzerland,Switzerland,gas,share-weight,final-calibration-year,2200,1,s-curve
Switzerland,Switzerland,nuclear,share-weight,final-calibration-year,initial-future-year,,linear
Switzerland,Switzerland,nuclear,share-weight,initial-future-year,2050,,linear
Switzerland,Switzerland,nuclear,share-weight,2050,2200,1,s-curve
Iceland,Switzerland,gas,share-weight,final-calibration-year,2200,1,s-curve
Iceland,Switzerland,nuclear,share-weight,final-calibration-year,initial-future-year,,linear
Iceland,Switzerland,nuclear,share-weight,initial-future-year,2050,,linear
Iceland,Switzerland,nuclear,share-weight,2050,2200,1,s-curve
Norway,Switzerland,gas,share-weight,final-calibration-year,2200,1,s-curve
Norway,Switzerland,nuclear,share-weight,final-calibration-year,initial-future-year,,linear
Norway,Switzerland,nuclear,share-weight,initial-future-year,2050,,linear
Norway,Switzerland,nuclear,share-weight,2050,2200,1,s-curve
Switzerland,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Iceland,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Norway,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Bulgaria,electricity,refined liquids,share-weight,final-calibration-year,2100,0.309,linear
Cyprus,electricity,refined liquids,share-weight,final-calibration-year,2100,0.309,linear
Czech Republic,electricity,refined liquids,share-weight,final-calibration-year,2100,0.309,linear
Estonia,electricity,refined liquids,share-weight,final-calibration-year,2100,0.309,linear
Hungary,electricity,refined liquids,share-weight,final-calibration-year,2100,0.309,linear
Lithuania,electricity,refined liquids,share-weight,final-calibration-year,2100,0.309,linear
Latvia,electricity,refined liquids,share-weight,final-calibration-year,2100,0.309,linear
Malta,electricity,refined liquids,share-weight,final-calibration-year,2100,0.309,linear
Poland,electricity,refined liquids,share-weight,final-calibration-year,2100,0.309,linear
Romania,electricity,refined liquids,share-weight,final-calibration-year,2100,0.309,linear
Slovakia,electricity,refined liquids,share-weight,final-calibration-year,2100,0.309,linear
Slovenia,electricity,refined liquids,share-weight,final-calibration-year,2100,0.309,linear
Spain,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Austria,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Belgium,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Germany,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Denmark,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
UK,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Finland,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
France,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Greece,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Ireland,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Italy,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Luxembourg,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Netherlands,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Portugal,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Sweden,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Belarus,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Moldova,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Ukraine,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Albania,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Bosnia and Herzegovina,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Croatia,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Macedonia,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Serbia and Montenegro,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
Turkey,electricity,refined liquids,share-weight,final-calibration-year,2100,,fixed
