# File: A44.subsector_logit_EUR.csv
# Title: Building default subsector logit exponents
# Units: Unitless
# Column types: ccic
# ----------
supplysector,subsector,logit.exponent,logit.type
resid heating modern,biomass,-6,
resid heating coal,coal,-6,
resid heating modern,electricity,-6,
resid heating modern,gas,-6,
resid heating modern,refined liquids,-6,
resid heating TradBio,traditional biomass,-6,
resid heating modern,district heat,-6,
resid cooling modern,electricity,-6,
resid cooling modern,gas,-6,
resid cooking modern,biomass,-6,
resid cooking coal,coal,-6,
resid cooking modern,electricity,-6,
resid cooking modern,gas,-6,
resid cooking modern,refined liquids,-6,
resid cooking TradBio,traditional biomass,-6,
resid other appliance modern,electricity,-6,
resid hot water modern,biomass,-6,
resid hot water coal,coal,-6,
resid hot water modern,electricity,-6,
resid hot water modern,gas,-6,
resid hot water modern,refined liquids,-6,
resid hot water modern,district heat,-6,
resid others modern,biomass,-6,
resid others coal,coal,-6,
resid others modern,electricity,-6,
resid others modern,gas,-6,
resid others modern,refined liquids,-6,
comm heating,biomass,-6,
comm heating,coal,-6,
comm heating,electricity,-6,
comm heating,gas,-6,
comm heating,refined liquids,-6,
comm heating,district heat,-6,
comm cooling,electricity,-6,
comm cooling,gas,-6,
comm others,biomass,-6,
comm others,coal,-6,
comm others,electricity,-6,
comm others,gas,-6,
comm others,refined liquids,-6,
comm others,district heat,-6,
