# File: A44.globaltech_shrwt_EUR.csv
# Title: Building default technology shareweights
# Units: Unitless
# Column types: cccnnnnn
# ----------
supplysector,subsector,technology,1971,2010,2020,2050,2100
resid heating,biomass,biomass,1,1,1,1,1
resid heating,coal,coal,1,1,1,1,1
resid heating,electricity,electricity,1,1,1,1,1
resid heating,gas,gas,1,1,1,1,1
resid heating,refined liquids,refined liquids,1,1,1,1,1
resid heating,traditional biomass,traditional biomass,1,1,1,1,1
resid heating,district heat,district heat,1,1,1,1,1
resid cooling,electricity,electricity,1,1,1,1,1
resid cooling,gas,gas,1,1,1,1,1
resid cooking,biomass,biomass,1,1,1,1,1
resid cooking,coal,coal,1,1,1,1,1
resid cooking,electricity,electricity,1,1,1,1,1
resid cooking,gas,gas,1,1,1,1,1
resid cooking,refined liquids,refined liquids,1,1,1,1,1
resid cooking,district heat,district heat,1,1,1,1,1
resid cooking,traditional biomass,traditional biomass,1,1,1,1,1
resid lighting,electricity,electricity,1,1,1,1,1
resid hot water,biomass,biomass,1,1,1,1,1
resid hot water,coal,coal,1,1,1,1,1
resid hot water,electricity,electricity,1,1,1,1,1
resid hot water,gas,gas,1,1,1,1,1
resid hot water,refined liquids,refined liquids,1,1,1,1,1
resid hot water,district heat,district heat,1,1,1,1,1
resid others,biomass,biomass,1,1,1,1,1
resid others,coal,coal,1,1,1,1,1
resid others,electricity,electricity,1,1,1,1,1
resid others,gas,gas,1,1,1,1,1
resid others,refined liquids,refined liquids,1,1,1,1,1
resid others,district heat,district heat,1,1,1,1,1
comm heating,biomass,biomass,1,1,1,1,1
comm heating,coal,coal,1,1,1,1,1
comm heating,electricity,electricity,1,1,1,1,1
comm heating,gas,gas,1,1,1,1,1
comm heating,refined liquids,refined liquids,1,1,1,1,1
comm heating,district heat,district heat,1,1,1,1,1
comm cooling,electricity,electricity,1,1,1,1,1
comm cooling,gas,gas,1,1,1,1,1
comm others,biomass,biomass,1,1,1,1,1
comm others,coal,coal,1,1,1,1,1
comm others,electricity,electricity,1,1,1,1,1
comm others,gas,gas,1,1,1,1,1
comm others,refined liquids,refined liquids,1,1,1,1,1
comm others,district heat,district heat,1,1,1,1,1
resid heating,gas,hydrogen,0,0,0,1,1
resid others,gas,hydrogen,0,0,0,1,1
comm heating,gas,hydrogen,0,0,0,1,1
comm others,gas,hydrogen,0,0,0,1,1
