# File: A01.popgdp_EUR.csv
# Title: Population and GDP values for SSP2 scenario in EUR.
# Units: Number of people, GDP growth rate, GDP per capita growth rate
# Source: https://economy-finance.ec.europa.eu/publications/2024-ageing-report-economic-and-budgetary-projections-eu-member-states-2022-2070_en
# Column types: cncnnn
# ----------
scenario,year,geo,pop,gdp_gr,gdppc_gr
SSP2,2022,AT,8978929,1.4103,0.6213
SSP2,2023,AT,9073118,1.443,0.7617
SSP2,2024,AT,9101003,1.4079,1.1956
SSP2,2025,AT,9111243,1.4042,1.2658
SSP2,2026,AT,9125881,1.3132,1.1247
SSP2,2027,AT,9145233,1.3269,1.089
SSP2,2028,AT,9168872,1.3469,1.0876
SSP2,2029,AT,9192199,1.3113,1.0591
SSP2,2030,AT,9214690,1.2536,1.0115
SSP2,2031,AT,9236319,1.1705,0.9393
SSP2,2032,AT,9256949,1.207,0.9849
SSP2,2033,AT,9276987,1.2127,0.9962
SSP2,2034,AT,9296664,1.2544,1.0254
SSP2,2035,AT,9319086,1.3005,1.0649
SSP2,2036,AT,9340056,1.3506,1.1295
SSP2,2037,AT,9359874,1.4045,1.1957
SSP2,2038,AT,9378624,1.4682,1.2717
SSP2,2039,AT,9396223,1.5339,1.3483
SSP2,2040,AT,9413009,1.5987,1.4227
SSP2,2041,AT,9428870,1.583,1.4178
SSP2,2042,AT,9443688,1.5558,1.4017
SSP2,2043,AT,9457548,1.5055,1.3625
SSP2,2044,AT,9470356,1.4599,1.3282
SSP2,2045,AT,9482146,1.417,1.2938
SSP2,2046,AT,9493401,1.3683,1.2529
SSP2,2047,AT,9503774,1.3221,1.2177
SSP2,2048,AT,9512982,1.2794,1.1896
SSP2,2049,AT,9520666,1.2489,1.1736
SSP2,2050,AT,9527146,1.2183,1.1563
SSP2,2051,AT,9532325,1.1848,1.1363
SSP2,2052,AT,9536299,1.1556,1.1193
SSP2,2053,AT,9539157,1.1336,1.1075
SSP2,2054,AT,9541221,1.1102,1.0932
SSP2,2055,AT,9542363,1.097,1.0883
SSP2,2056,AT,9542859,1.0939,1.091
SSP2,2057,AT,9542910,1.0967,1.0988
SSP2,2058,AT,9542460,1.1041,1.1106
SSP2,2059,AT,9541677,1.1118,1.1212
SSP2,2060,AT,9540690,1.1223,1.1335
SSP2,2061,AT,9539576,1.1337,1.1434
SSP2,2062,AT,9538863,1.1444,1.1515
