# File: policy_sector_mappings.csv,
# Title: Mappings between CO2 market and sectors,
# Units: NA,
# Comments: only list supplysector; default is to include all technologies except biomass techs,
# Column types: cc,
# ----------,
mapping.name,supplysector
ETS,other industrial energy use
ETS,cement
ETS,process heat cement
ETS,N fertilizer
ETS,chemical energy use
ETS,alumina
ETS,ammonia
ETS,mining energy use
ETS,iron and steel
ETS,refining
ETS,process heat paper
ETS,process heat food processing
ETS,gas processing
ETS,district heat
ETS,backup_electricity
ETS,base load generation
ETS,intermediate generation
ETS,subpeak generation
ETS,peak generation
ETS,trn_pass
ETS,trn_freight
BUILD_SECTORS_NOCOOL,resid heating
BUILD_SECTORS_NOCOOL,resid others
BUILD_SECTORS_NOCOOL,comm heating
BUILD_SECTORS_NOCOOL,comm others
CO2_CHINA_INDUSTRY,other industrial energy use
CO2_CHINA_INDUSTRY,other industrial feedstocks
CO2_CHINA_INDUSTRY,N fertilizer
CO2_CHINA_INDUSTRY,chemical energy use
CO2_CHINA_INDUSTRY,chemical feedstocks
CO2_CHINA_INDUSTRY,alumina
CO2_CHINA_INDUSTRY,mining energy use
CO2_CHINA_INDUSTRY,iron and steel
CO2_CHINA_INDUSTRY,construction energy use
TRN_4W,trn_pass_road_LDV_4W
CEMENT,cement
CEMENT,process heat cement
IRONSTEEL,iron and steel
ETS2,resid cooking modern EUR_d1
ETS2,resid cooking modern EUR_d10
ETS2,resid cooking modern EUR_d2
ETS2,resid cooking modern EUR_d3
ETS2,resid cooking modern EUR_d4
ETS2,resid cooking modern EUR_d5
ETS2,resid cooking modern EUR_d6
ETS2,resid cooking modern EUR_d7
ETS2,resid cooking modern EUR_d8
ETS2,resid cooking modern EUR_d9
ETS2,resid cooling modern EUR_d1
ETS2,resid cooling modern EUR_d10
ETS2,resid cooling modern EUR_d2
ETS2,resid cooling modern EUR_d3
ETS2,resid cooling modern EUR_d4
ETS2,resid cooling modern EUR_d5
ETS2,resid cooling modern EUR_d6
ETS2,resid cooling modern EUR_d7
ETS2,resid cooling modern EUR_d8
ETS2,resid cooling modern EUR_d9
ETS2,resid heating modern EUR_d1
ETS2,resid heating modern EUR_d10
ETS2,resid heating modern EUR_d2
ETS2,resid heating modern EUR_d3
ETS2,resid heating modern EUR_d4
ETS2,resid heating modern EUR_d5
ETS2,resid heating modern EUR_d6
ETS2,resid heating modern EUR_d7
ETS2,resid heating modern EUR_d8
ETS2,resid heating modern EUR_d9
ETS2,resid hot water modern EUR_d1
ETS2,resid hot water modern EUR_d10
ETS2,resid hot water modern EUR_d2
ETS2,resid hot water modern EUR_d3
ETS2,resid hot water modern EUR_d4
ETS2,resid hot water modern EUR_d5
ETS2,resid hot water modern EUR_d6
ETS2,resid hot water modern EUR_d7
ETS2,resid hot water modern EUR_d8
ETS2,resid hot water modern EUR_d9
ETS2,trn_freight_road
ETS2,trn_pass_road
ETS2,trn_pass_road_LDV
ETS2,trn_pass_road_LDV_4W
ETS2,construction energy use
ETS2,comm heating EUR
ETS2,comm others EUR
ETS2,comm cooling EUR
